"We don't rise to the level of our expectations, we fall to the level of our training.",Archilochus
"The secret is to show up, do the work, and go home. A blue collar work ethic married to indomitable will. It is literally that simple.",Christopher Sommer
"Slow is smooth, smooth is fast.",Navy Seals
A man who procrastinates in his choosing will inevitably have his choice made for him by circumstance.,Hunter S. Thompson,
Writing is thinking. To write well is to think clearly. That's why it's so hard.,David McCoullough,
"Truth is not what you want it to be; it is what it is, and you must bend to its power or live a lie.",Miyamoto Musashi,
"When people show you who they are, believe them.",Maya Angelou,
Life is either daring adventure or nothing at all.,Helen Keller,
Buy the ticket take the ride.,Hunter S. Thompson,
You only live once but if you do it right once is enough.,Mae West,
"Above All, try something.",Franklin D. Roosevelt,
I never worry about the future it comes soon enough.,Albert Einstein,
One who makes no mistakes makes nothing at all.,Giacomo Casanova,
Do one thing everyday that scares you.,Eleanor Roosevelt,
In the end it's not the years in your life that count it's the life in your years.,Abraham Lincoln,
"If I'd followed all the rules, I'd never have gotten anywhere.",Marilyn Monroe,
Action expresses priorities.,Gandhi,
